Advertiser,Region,Sub Region,IO Number,Invoice No,Gross Amount,Sales,开票sales,Net Invoice Amount, Invoice Currency , FX Rate , Amount (USD) ,Invoice Date,Amount received,Balance,Remark,Receipt Date,Bank source,Credit Period,Due Date,Days Past Due,Ageing (Past Due),date of data
苏州蜗牛数字科技股份有限公司,专,,信息服务费,03074572,,Ander,Ken,31095.64 ,CNY,,,2016/12/6,,31095.64 ,,2018/9/30,,30.00 ,2017/1/5,reveived,received,九阴*九阴3D Unity走账 Nov
苏州蜗牛数字科技股份有限公司,专,,信息服务费,66442489,,Ander,Ken,188313.00 ,CNY,,,2017/5/23,,188313.00 ,,2018/9/30,,30.00 ,2017/6/22,reveived,received,天子2016/6-2016/10
苏州蜗牛数字科技股份有限公司,专,,信息服务费,66442490,,Ander,Ken,117698.84 ,CNY,,,2017/5/23,,117698.84 ,,2018/9/30,,30.00 ,2017/6/22,reveived,received,决战光明顶2016/11-2016/12
蓝港在线（北京）科技有限公司,专,,信息服务费,07996453,,Bonnie,Dyna,7682.85 ,CNY,,,2017/8/25,7682.17 ,0.68 ,,2018/7/13,,30.00 ,2017/9/24,reveived,received,July 吐槽者联盟
天津凤盈宏达文化传播有限公司,专,,信息服务费,29350039,,Bonnie,Dyna,55047.47 ,CNY,,,2018/4/12,,55047.47 ,,2018/7/10,,30.00 ,2018/5/12,reveived,received,Jan
完美世界（重庆）互动科技有限公司,专,,信息服务费,29350048,,Bonnie,Dyna,4251.00 ,CNY,,,2018/4/17,4251.00 ,0.00 ,,2018/8/24,,60.00 ,2018/6/16,reveived,received,射雕英雄传 Jan1-Jan25
天津亚克互动科技有限公司（完美世界）,专,,信息服务费,29350049,,Bonnie,Dyna,2409.00 ,CNY,,,2018/4/17,2409.00 ,0.00 ,,2018/8/23,,60.00 ,2018/6/16,reveived,received,诛仙 Jan1-Jan25 Vungle
完美世界（重庆）互动科技有限公司,专,,信息服务费,29350050,,Bonnie,Dyna,5078.00 ,CNY,,,2018/4/17,5078.00 ,0.00 ,,2018/8/24,,60.00 ,2018/6/16,reveived,received,诛仙 Jan26-Feb25 Vungle
上海蛙扑网络技术有限公司（dena),专,,信息服务费,29279962,,Vanness,,5050.00 ,CNY,,,2018/4/24,5050.00 ,0.00 ,,2018/7/14,,30.00 ,2018/5/24,reveived,received,Mar 七人传奇
北京鑫宇创世科技有限公司（考拉游戏）,专,,信息服务费,29279970,,Vanness,,3560.00 ,CNY,,,2018/5/14,,3560.00 ,,2018/7/10,,30.00 ,2018/6/13,reveived,received,April 权战三国
完美世界（重庆）互动科技有限公司,专,,信息服务费,29279985,,Bonnie,,38415.47 ,CNY,,,2018/6/4,38415.47 ,0.00 ,,2018/9/14,,60.00 ,2018/8/3,reveived,received,诛仙 Feb26-Mar31 matomy&Vungle
网易（杭州）网络有限公司,专,,信息服务费,29279990,,Vanness,,60080.00 ,CNY,,,2018/6/6,60080.00 ,0.00 ,,2018/7/17,,30.00 ,2018/7/6,reveived,received,汉王纷争 Dec-April
杭州迪尔西时尚科技有限公司,专,,信息服务费,29279996,,Xinxin,,66513.06 ,CNY,,,2018/6/8,66513.06 ,0.00 ,,2018/7/2,,30.00 ,2018/7/8,reveived,received,April Fb
杭州迪尔西时尚科技有限公司,专,,信息服务费,29279997,,Xinxin,,826.52 ,CNY,,,2018/6/8,826.52 ,0.00 ,,2018/7/2,,30.00 ,2018/7/8,reveived,received,April Google
网易（杭州）网络有限公司,专,,信息服务费,31004851-52,,Vanness,,1345983.00 ,CNY,,,2018/6/13,1345983.00 ,0.00 ,,2018/7/25,,30.00 ,2018/7/13,reveived,received,三国如龙传 Nov-April
网易（杭州）网络有限公司,专,,信息服务费,31004853,,Vanness,,236575.00 ,CNY,,,2018/6/13,236575.00 ,0.00 ,,2018/7/12,,30.00 ,2018/7/13,reveived,received,劲舞团 Dec
上海番糖网络科技有限公司,专,,信息服务费,31004855,,Ander,,9485.00 ,CNY,,,2018/6/19,9485.00 ,0.00 ,,2018/7/25,,30.00 ,2018/7/19,reveived,received,食之契约April
上海野派电子商务有限公司（野兽派）,专,,信息服务费,31004856,,Vanness,,11154.00 ,CNY,,,2018/6/20,11154.00 ,0.00 ,,2018/9/21,,30.00 ,2018/7/20,reveived,received,April-May CPA
成都游吉科技有限公司（盛大游戏）,专,,信息服务费,31004857,,Vanness,,40000.00 ,CNY,,,2018/6/21,40000.00 ,0.00 ,,2018/7/25,,30.00 ,2018/7/21,reveived,received,三国志 Feb-Mar
广东星辉天拓互动娱乐有限公司,专,,信息服务费,31004858,,Vanness,,250480.00 ,CNY,,,2018/6/22,250480.00 ,0.00 ,,2018/8/8,,30.00 ,2018/7/22,reveived,received,苍之纪元 April
网易（杭州）网络有限公司,专,,信息服务费,31004859,,Vanness,,67030.00 ,CNY,,,2018/6/25,67030.00 ,0.00 ,,2018/7/25,,30.00 ,2018/7/25,reveived,received,泡泡趴 Jan
广州爱九游信息技术有限公司（阿里游戏）,专,,信息服务费,31004860,,Bonnie,,30942.00 ,CNY,,,2018/7/5,30942.00 ,0.00 ,,2018/7/18,,30.00 ,2018/8/4,reveived,received,烈火如歌 May
网易（杭州）网络有限公司,专,,信息服务费,31004861,,Vanness,,31720.00 ,CNY,,,2018/7/10,31720.00 ,0.00 ,,2018/7/30,,30.00 ,2018/8/9,reveived,received,猎魂觉醒 Jan-Feb
网易（杭州）网络有限公司,专,,信息服务费,31004862,,Vanness,,16450.00 ,CNY,,,2018/7/10,16450.00 ,0.00 ,,2018/7/27,,30.00 ,2018/8/9,reveived,received,飞刀又见飞刀 Aug17
网易（杭州）网络有限公司,专,,信息服务费,31004863,,Vanness,,172050.00 ,CNY,,,2018/7/10,172050.00 ,0.00 ,,2018/7/30,,30.00 ,2018/8/9,reveived,received,劲舞团 April
