Advertiser,Region,Sub Region,IO Number,Invoice No,Gross Amount,Sales,开票sales,Net Invoice Amount, Invoice Currency , FX Rate ,Amount (USD),Invoice Date,Amount received,Balance,Remark,Receipt Date,Bank source,Credit Period,Due Date,Days Past Due,Ageing (Past Due),COMMENTS
掌上乐游有限公司（有爱互动）,China Sales,China Sales North,,CHN_01_11_16,,Bonnie,Dyna,71675.65 ,USD,,71675.65 ,2016/11/1,60656.87 ,11018.78 ,,2018/7/25,, 30 ,2016/12/1, reveived ,received,Apr
掌上乐游有限公司（有爱互动）,China Sales,China Sales North,,CHN_03_11_16,,Bonnie,Dyna,32289.72 ,USD,,32289.72 ,2016/11/1,,32289.72 ,,2018/7/25,, 30 ,2016/12/1, reveived ,received,May
掌上乐游有限公司（有爱互动）,China Sales,China Sales North,,CHN_04_11_16,,Bonnie,Dyna,27919.93 ,USD,,27919.93 ,2016/11/1,,27919.93 ,,2018/7/25,, 30 ,2016/12/1, reveived ,received,May
HONGKONG XIAOYAO GAME ENTERTAIMENT(有爱互动),China Sales,China Sales North,,CHN_88_12_16,,Bonnie,Dyna,5564.57 ,USD,,5564.57 ,2016/12/23,,5564.57 ,,2018/7/25,, 30 ,2017/1/22, reveived ,received,June
PT.Tri Digital Perlasa-Lokamedia,APAC,Indonesia,,SGP_02_04_17,,Edo,,3032.25 ,USD,,3032.25 ,2017/4/13,3032.25 ,0.00 ,,2018/9/4,, 30 ,2017/5/13, reveived ,received,Mar
PT.Tri Digital Perlasa-Lokamedia,APAC,Indonesia,,SGP_05_05_17,,Edo,,2786.25 ,USD,,2786.25 ,2017/5/25,2786.25 ,0.00 ,,2018/9/26,, 30 ,2017/6/24, reveived ,received,April
PT Web Marketing Indonesia,APAC,Indonesia,,SGP_02_10_17,,Edo,,6000.00 ,USD,,6000.00 ,2017/10/10,6000.00 ,0.00 ,,2018/7/6,, 30 ,2017/11/9, reveived ,received,Aug
PT Web Marketing Indonesia,APAC,Indonesia,,SGP_10_11_17,,Edo,,10000.00 ,USD,,10000.00 ,2017/11/24,10000.00 ,0.00 ,,2018/7/6,, 30 ,2017/12/24, reveived ,received,Oct
"Lazada E-Services Philippines, Inc (Lazada PH)",APAC,Indonesia,,SGP_06_12_17,,Edo,,598.62 ,USD,,598.62 ,2017/12/8,598.62 ,0.00 ,,2018/9/21,, 30 ,2018/1/7, reveived ,received,PH Nov
Hong Kong NetEase Interactive Entertainment Limited（网易海外）,China Sales,China Sales South,,CHN_47_12_17,,Vanness,,8742.60 ,USD,,8742.60 ,2017/12/18,8742.60 ,0.00 ,,2018/7/13,, 30 ,2018/1/17, reveived ,received,Sep-Nov Fb
PT Web Marketing Indonesia,APAC,Indonesia,,SGP_17_12_17,,Edo,,12688.00 ,USD,,12688.00 ,2017/12/19,12688.00 ,0.00 ,,2018/7/6,, 30 ,2018/1/18, reveived ,received,Nov
PT Web Marketing Indonesia,APAC,Indonesia,,SGP_14_01_18,,Edo,,20000.00 ,USD,,20000.00 ,2018/1/12,20000.00 ,0.00 ,,2018/7/6,, 30 ,2018/2/11, reveived ,received,Dec
Vuclip Singapore PTE Ltd,APAC,SGP,,SGP_17_01_18,,Amanda,,794.64 ,USD,,794.64 ,2018/1/22,794.64 ,0.00 ,,2018/8/29,, 45 ,2018/3/8, reveived ,received,Dec CPC
PT Web Marketing Indonesia,APAC,Indonesia,,SGP_07_02_18,,Edo,,20000.00 ,USD,,20000.00 ,2018/2/7,20000.00 ,0.00 ,,2018/9/20,, 30 ,2018/3/9, reveived ,received,Jan
